,Global Horizontal Irradiance [W/m2]
79.05,0.9722222222221669
79.06666666666666,1.2962962962962226
79.08333333333333,1.620370370370278
79.1,1.9444444444443338
79.11666666666666,2.2685185185183894
79.13333333333334,2.592592592592445
79.15,2.916666666666777
79.16666666666667,3.2407407407408324
79.18333333333334,3.564814814814888
79.2,3.888888888888944
79.21666666666667,4.212962962962999
79.23333333333333,4.537037037037055
79.25,4.861111111111111
79.26666666666667,5.1851851851851665
79.28333333333333,5.509259259259222
79.3,5.833333333333278
79.31666666666666,6.157407407407333
79.33333333333333,6.481481481481389
79.35,6.805555555555444
79.36666666666666,7.1296296296295
79.38333333333334,7.453703703703556
79.4,7.777777777777888
79.41666666666667,8.101851851851944
79.43333333333334,8.425925925925998
79.45,8.750000000000055
79.46666666666667,9.07407407407411
79.48333333333333,9.398148148148167
79.5,9.722222222222221
79.51666666666667,10.046296296296276
79.53333333333333,10.370370370370333
79.55,10.694444444444388
79.56666666666666,11.018518518518444
79.58333333333333,11.3425925925925
79.6,11.666666666666556
79.61666666666666,11.99074074074061
79.63333333333334,12.314814814814666
79.65,12.638888888888998
79.66666666666667,12.962962962963054
79.68333333333334,13.28703703703711
79.7,13.611111111111166
79.71666666666667,13.93518518518522
79.73333333333333,14.259259259259277
79.75,14.583333333333332
79.76666666666667,14.907407407407387
79.78333333333333,15.231481481481444
79.8,15.555555555555499
79.81666666666666,15.879629629629555
79.83333333333333,16.20370370370361
79.85,16.527777777777665
79.86666666666666,16.851851851851723
79.88333333333334,17.175925925925778
79.9,17.50000000000011
79.91666666666667,17.824074074074165
79.93333333333334,18.14814814814822
79.95,18.472222222222275
79.96666666666667,18.796296296296333
79.98333333333333,19.120370370370388
80.0,19.444444444444443
80.01666666666667,20.833333333333254
80.03333333333333,22.22222222222206
80.05,23.611111111110873
80.06666666666666,24.99999999999968
80.08333333333333,26.38888888888849
80.1,27.777777777777303
80.11666666666666,29.16666666666611
80.13333333333334,30.55555555555492
80.15,31.944444444444915
80.16666666666667,33.33333333333373
80.18333333333334,34.722222222222534
80.2,36.11111111111134
80.21666666666667,37.500000000000156
80.23333333333333,38.888888888888964
80.25,40.27777777777777
80.26666666666667,41.666666666666586
80.28333333333333,43.055555555555394
80.3,44.4444444444442
80.31666666666666,45.833333333333016
80.33333333333333,47.22222222222182
80.35,48.61111111111063
80.36666666666666,49.999999999999446
80.38333333333334,51.38888888888825
80.4,52.77777777777825
80.41666666666667,54.166666666667055
80.43333333333334,55.55555555555587
80.45,56.94444444444468
80.46666666666667,58.333333333333485
80.48333333333333,59.7222222222223
80.5,61.11111111111111
80.51666666666667,62.499999999999915
80.53333333333333,63.88888888888873
80.55,65.27777777777754
80.56666666666666,66.66666666666634
80.58333333333333,68.05555555555516
80.6,69.44444444444397
80.61666666666666,70.83333333333277
80.63333333333334,72.22222222222159
80.65,73.61111111111158
80.66666666666667,75.0000000000004
80.68333333333334,76.3888888888892
80.7,77.77777777777801
80.71666666666667,79.16666666666683
80.73333333333333,80.55555555555563
80.75,81.94444444444444
80.76666666666667,83.33333333333326
80.78333333333333,84.72222222222206
80.8,86.11111111111087
80.81666666666666,87.49999999999967
80.83333333333333,88.88888888888849
80.85,90.2777777777773
80.86666666666666,91.6666666666661
80.88333333333334,93.05555555555492
80.9,94.44444444444491
80.91666666666667,95.83333333333373
80.93333333333334,97.22222222222253
80.95,98.61111111111134
80.96666666666667,100.00000000000016
80.98333333333333,101.38888888888896
81.0,102.77777777777777
81.01666666666667,105.41666666666652
81.03333333333333,108.05555555555524
81.05,110.69444444444399
81.06666666666666,113.33333333333273
81.08333333333333,115.97222222222146
81.1,118.6111111111102
81.11666666666666,121.24999999999895
81.13333333333334,123.88888888888768
81.15,126.52777777777867
81.16666666666667,129.1666666666674
81.18333333333334,131.80555555555614
81.2,134.44444444444488
81.21666666666667,137.08333333333363
81.23333333333333,139.72222222222237
81.25,142.3611111111111
81.26666666666667,144.99999999999983
81.28333333333333,147.63888888888857
81.3,150.27777777777732
81.31666666666666,152.91666666666606
81.33333333333333,155.5555555555548
81.35,158.19444444444355
81.36666666666666,160.83333333333226
81.38333333333334,163.472222222221
81.4,166.111111111112
81.41666666666667,168.75000000000074
81.43333333333334,171.38888888888948
81.45,174.02777777777823
81.46666666666667,176.66666666666697
81.48333333333333,179.30555555555569
81.5,181.94444444444443
81.51666666666667,184.58333333333317
81.53333333333333,187.2222222222219
81.55,189.86111111111063
81.56666666666666,192.49999999999937
81.58333333333333,195.13888888888812
81.6,197.77777777777686
81.61666666666666,200.4166666666656
81.63333333333334,203.05555555555435
81.65,205.6944444444453
81.66666666666667,208.33333333333405
81.68333333333334,210.9722222222228
81.7,213.61111111111154
81.71666666666667,216.25000000000028
81.73333333333333,218.88888888888903
81.75,221.52777777777777
81.76666666666667,224.16666666666652
81.78333333333333,226.80555555555523
81.8,229.44444444444397
81.81666666666666,232.08333333333272
81.83333333333333,234.72222222222146
81.85,237.36111111111018
81.86666666666666,239.99999999999892
81.88333333333334,242.63888888888766
81.9,245.27777777777865
81.91666666666667,247.9166666666674
81.93333333333334,250.55555555555614
81.95,253.19444444444488
81.96666666666667,255.8333333333336
