,Room Heat Gain [W]
78.05,-186.55209289700917
78.06666666666666,-186.39998943618411
78.08333333333333,-186.2480516770195
78.1,-186.09627974621108
78.11666666666666,-185.94467379367902
78.13333333333334,-185.7932339919595
78.15,-185.6419605355739
78.16666666666667,-185.49085364037262
78.18333333333334,-185.33991354285973
78.2,-185.18914049948458
78.21666666666667,-185.03853478593567
78.23333333333333,-184.88809669640324
78.25,-184.73782654283713
78.26666666666667,-184.587724654198
78.28333333333333,-184.43779137567665
78.3,-184.28802706792874
78.31666666666666,-184.13843210627772
78.33333333333333,-183.98900687990778
78.35,-183.83975179104164
78.36666666666666,-183.69066725410084
78.38333333333334,-183.54175369484292
78.4,-183.3930115494848
78.41666666666667,-183.24444126379726
78.43333333333334,-183.09604329216964
78.45,-182.94781809666407
78.46666666666667,-182.79976614603365
78.48333333333333,-182.65188791473628
78.5,-182.50418388189817
78.51666666666667,-182.35665453029554
78.53333333333333,-182.2093003452969
78.55,-182.06212181380687
78.56666666666666,-181.91511942320213
78.58333333333333,-181.7682936602636
78.6,-181.62164501012933
78.61666666666666,-181.47517395523465
78.63333333333334,-181.32888097428076
78.65,-181.18276654123426
78.66666666666667,-181.03683112432918
78.68333333333334,-180.8910751851266
78.7,-180.7454991775856
78.71666666666667,-180.60010354718784
78.73333333333333,-180.4548887301149
78.75,-180.30985515244586
78.76666666666667,-180.16500322942449
78.78333333333333,-180.0203333647849
78.8,-179.87584595010364
78.81666666666666,-179.7315413642345
78.83333333333333,-179.58741997278702
78.85,-179.44348212765618
78.86666666666666,-179.2997281666195
78.88333333333334,-179.15615841297742
78.9,-179.0127731752708
78.91666666666667,-178.86957274701902
78.93333333333334,-178.72655740653911
78.95,-178.5837274168099
78.96666666666667,-178.44108302535798
78.98333333333333,-178.29862446424377
79.0,-178.15635195003998
79.01666666666667,-177.9886172463768
79.03333333333333,-177.82119721872198
79.05,-177.65409139640784
79.06666666666666,-177.48729929689046
79.08333333333333,-177.3208204259218
79.1,-177.15465427775442
79.11666666666666,-176.98880033537085
79.13333333333334,-176.82325807074278
79.15,-176.65802694510202
79.16666666666667,-176.49310640924668
79.18333333333334,-176.32849590385982
79.2,-176.1641948598272
79.21666666666667,-176.00020269859525
79.23333333333333,-175.8365188325183
79.25,-175.67314266519872
79.26666666666667,-175.51007359183956
79.28333333333333,-175.34731099958057
79.3,-175.18485426779176
79.31666666666666,-175.02270276837663
79.33333333333333,-174.8608558659893
79.35,-174.6993129182248
79.36666666666666,-174.53807327573935
79.38333333333334,-174.37713628229005
79.4,-174.2165012747064
79.41666666666667,-174.0561675827378
79.43333333333334,-173.89613452884467
79.45,-173.7364014278554
79.46666666666667,-173.5769675865231
79.48333333333333,-173.41783230300157
79.5,-173.25899486617564
79.51666666666667,-173.1004545549411
79.53333333333333,-172.94221063736137
79.55,-172.78426236976082
79.56666666666666,-172.62660899573967
79.58333333333333,-172.46924974513482
79.6,-172.31218383292145
79.61666666666666,-172.15541045810969
79.63333333333334,-171.99892880259333
79.65,-171.8427380300098
79.66666666666667,-171.68683728460212
79.68333333333334,-171.53122569010594
79.7,-171.37590234866852
79.71666666666667,-171.2208663398172
79.73333333333333,-171.06611671946933
79.75,-170.91165251902711
79.76666666666667,-170.7574727445385
79.78333333333333,-170.6035763759297
79.8,-170.44996236633693
79.81666666666666,-170.29662964152183
79.83333333333333,-170.14357709938244
79.85,-169.99080360957063
79.86666666666666,-169.8383080131806
79.88333333333334,-169.68608912258156
