,Room Exergy Demand [W]
73.75,-0.08377661652045319
73.76666666666667,-0.08383188412610418
73.78333333333333,-0.08388736698514329
73.8,-0.08394305738616378
73.81666666666666,-0.08399894775914475
73.83333333333333,-0.08405503063660139
73.85,-0.08411129866063177
73.86666666666666,-0.08416774457381483
73.88333333333334,-0.08422436120419856
73.9,-0.08428114146957731
73.91666666666667,-0.08433807838863423
73.93333333333334,-0.08439516504507509
73.95,-0.0844523946291605
73.96666666666667,-0.0845097604061277
73.98333333333333,-0.08456725574414187
74.0,-0.0846248740940453
74.01666666666667,-0.08262709174895404
74.03333333333333,-0.0814621828358651
74.05,-0.08078242708495434
74.06666666666666,-0.0803859128499893
74.08333333333333,-0.0801552742533666
74.1,-0.08002219783613933
74.11666666666666,-0.07994685095656125
74.13333333333334,-0.07990595305397108
74.15,-0.07988585456685686
74.16666666666667,-0.07987851845279213
74.18333333333334,-0.07987918490381789
74.2,-0.07988501274490273
74.21666666666667,-0.07989428788363685
74.23333333333333,-0.07990596133217644
74.25,-0.07991937894619841
74.26666666666667,-0.07993412284323617
74.28333333333333,-0.07994991799387428
74.3,-0.07996657693729392
74.31666666666666,-0.07998396680994206
74.33333333333333,-0.08000198956014096
74.35,-0.08002056991715666
74.36666666666666,-0.08003964796683449
74.38333333333334,-0.08005917451668997
74.4,-0.0800791081138091
74.41666666666667,-0.08009941309386573
74.43333333333334,-0.08012005826133911
74.45,-0.08014101596332958
74.46666666666667,-0.08016226144312963
74.48333333333333,-0.08018377232005884
74.5,-0.08020552823840678
74.51666666666667,-0.0802275105543694
74.53333333333333,-0.08024970211250682
74.55,-0.08027208703245665
74.56666666666666,-0.0802946505641214
74.58333333333333,-0.08031737893299158
74.6,-0.08034025923990971
74.61666666666666,-0.0803632793514761
74.63333333333334,-0.08038642781318643
74.65,-0.08040969378093664
74.66666666666667,-0.08043306695730384
74.68333333333334,-0.08045653752530696
74.7,-0.0804800961109783
74.71666666666667,-0.08050373373306899
74.73333333333333,-0.0805274417704464
74.75,-0.08055121193473178
74.76666666666667,-0.08057503622998805
74.78333333333333,-0.08059890693600646
74.8,-0.08062281659635426
74.81666666666666,-0.08064675798858359
74.83333333333333,-0.08067072411144216
74.85,-0.08069470818060996
74.86666666666666,-0.08071870360356269
74.88333333333334,-0.08074270398282461
74.9,-0.08076670311122239
74.91666666666667,-0.08079069494518092
74.93333333333334,-0.08081467362403535
74.95,-0.08083863344453547
74.96666666666667,-0.08086256887619357
74.98333333333333,-0.08088647454422951
75.0,-0.0809103452336244
75.01666666666667,-0.0788754425153476
75.03333333333333,-0.07767583411621008
75.05,-0.07696261079513028
75.06666666666666,-0.07653322249807563
75.08333333333333,-0.07626996252605064
75.1,-0.07610433674151522
75.11666666666666,-0.0759964176088794
75.13333333333334,-0.0759228753659448
75.15,-0.07587003544015794
75.16666666666667,-0.07582984851213231
75.18333333333334,-0.07579754915897013
75.2,-0.07577029404255743
75.21666666666667,-0.0757463686866882
75.23333333333333,-0.07572472463550571
75.25,-0.07570470874954921
75.26666666666667,-0.0756859043943729
75.28333333333333,-0.0756680379187172
75.3,-0.07565092330071865
75.31666666666666,-0.07563442916621506
75.33333333333333,-0.0756184589807048
75.35,-0.07560293898911859
75.36666666666666,-0.07558781081665787
75.38333333333334,-0.07557302680404356
75.4,-0.07555854703700643
75.41666666666667,-0.07554433738352033
75.43333333333334,-0.07553036817758275
75.45,-0.07551661328267183
75.46666666666667,-0.07550304944462016
75.48333333333333,-0.07548965578169464
75.5,-0.07547641341922359
75.51666666666667,-0.07546330517139369
75.53333333333333,-0.07545031533045903
75.55,-0.07543742943929138
75.56666666666666,-0.07542463414926819
75.58333333333333,-0.07541191707354467
75.6,-0.07539926666626642
75.61666666666666,-0.07538667213435901
75.63333333333334,-0.07537412333286245
75.65,-0.07536161071236344
75.66666666666667,-0.07534912523122617
75.68333333333334,-0.07533665832431125
75.7,-0.07532420182022422
75.71666666666667,-0.0753117479420847
75.73333333333333,-0.07529928922777372
75.75,-0.07528681853604755
75.76666666666667,-0.07527432898574624
75.78333333333333,-0.07526181396201102
75.8,-0.07524926707518828
75.81666666666666,-0.07523668215245893
75.83333333333333,-0.0752240532320531
75.85,-0.07521137452242595
75.86666666666666,-0.07519864042736096
75.88333333333334,-0.07518584552028773
75.9,-0.07517298452893896
75.91666666666667,-0.07516005234464217
75.93333333333334,-0.07514704401204989
75.95,-0.07513395472594442
75.96666666666667,-0.07512077982467526
75.98333333333333,-0.07510751479065586
76.0,-0.07509415524938763
76.01666666666667,-0.07778911499269527
76.03333333333333,-0.07938596716094341
