,Indoor Air Temperature [°C]
73.13333333333334,15.94965890118334
73.15,15.948633826135165
73.16666666666667,15.947608908276038
73.18333333333334,15.94658401779003
73.2,15.945559071275795
73.21666666666667,15.944534013277234
73.23333333333333,15.943508805386955
73.25,15.942483419779194
73.26666666666667,15.941457835341907
73.28333333333333,15.940432035339654
73.3,15.939406005982732
73.31666666666666,15.9383797355365
73.33333333333333,15.937353213754648
73.35,15.936326431510452
73.36666666666666,15.935299380548827
73.38333333333334,15.934272053314658
73.4,15.933244442829846
73.41666666666667,15.932216542602532
73.43333333333334,15.931188346557633
73.45,15.930159848982669
73.46666666666667,15.929131044484166
73.48333333333333,15.928101927952241
73.5,15.927072494531387
73.51666666666667,15.9260427395958
73.53333333333333,15.925012658728747
73.55,15.923982247705112
73.56666666666666,15.922951502476337
73.58333333333333,15.921920419157686
73.6,15.920888994017332
73.61666666666666,15.91985722346709
73.63333333333334,15.918825104054235
73.65,15.917792632454791
73.66666666666667,15.916759805467507
73.68333333333334,15.915726620008797
73.7,15.91469307310848
73.71666666666667,15.913659161905855
73.73333333333333,15.912624883646686
73.75,15.911590235680308
73.76666666666667,15.91055521545718
73.78333333333333,15.909519820526725
73.8,15.908484048535627
73.81666666666666,15.907447897225836
73.83333333333333,15.906411364433438
73.85,15.905374448086889
73.86666666666666,15.904337146205933
73.88333333333334,15.9032994569003
73.9,15.902261378368564
73.91666666666667,15.90122290889667
73.93333333333334,15.900184046857305
73.95,15.899144790708135
73.96666666666667,15.89810513899107
73.98333333333333,15.897065090330784
74.0,15.896024643433634
74.01666666666667,15.895008797086177
74.03333333333333,15.894007310890231
74.05,15.893014219968165
74.06666666666666,15.892026042040527
74.08333333333333,15.89104073784614
74.1,15.89005710801041
74.11666666666666,15.889074442867354
74.13333333333334,15.888092318955216
74.15,15.887110480609977
74.16666666666667,15.886128770965684
74.18333333333334,15.885147091666
74.2,15.884165379278556
74.21666666666667,15.883183591440172
74.23333333333333,15.882201698681286
74.25,15.881219679572723
74.26666666666667,15.88023751782157
74.28333333333333,15.879255200515388
74.3,15.878272717046002
74.31666666666666,15.877290058438291
74.33333333333333,15.876307216922442
74.35,15.875324185653824
74.36666666666666,15.874340958524442
74.38333333333334,15.873357530030944
74.4,15.872373895179521
74.41666666666667,15.871390049414856
74.43333333333334,15.87040598856504
74.45,15.8694217087982
74.46666666666667,15.868437206586691
74.48333333333333,15.867452478677933
74.5,15.866467522069684
74.51666666666667,15.86548233398878
74.53333333333333,15.864496911872891
74.55,15.863511253354943
74.56666666666666,15.862525356249023
74.58333333333333,15.86153921853861
74.6,15.860552838365606
74.61666666666666,15.859566214021015
74.63333333333334,15.858579343936583
74.65,15.857592226677298
74.66666666666667,15.856604860934624
74.68333333333334,15.855617245520648
74.7,15.85462937936262
74.71666666666667,15.853641261498012
74.73333333333333,15.852652891070306
74.75,15.851664267324622
74.76666666666667,15.850675389604305
74.78333333333333,15.849686257347514
74.8,15.848696870083927
74.81666666666666,15.847707227431897
74.83333333333333,15.846717329095668
74.85,15.845727174862816
74.86666666666666,15.844736764601691
74.88333333333334,15.84374609825926
74.9,15.8427551758586
74.91666666666667,15.841763997496969
74.93333333333334,15.840772563343421
74.95,15.839780873636983
74.96666666666667,15.83878892868455
74.98333333333333,15.837796728858905
75.0,15.836804274596773
75.01666666666667,15.835836566396836
75.03333333333333,15.834883365554106
75.05,15.833938708864878
